name,class
B族链球菌感染,百种常见病
ST段抬高型心肌梗死,百种常见病
中耳炎,百种常见病
乙型肝炎,百种常见病
乳腺原位癌,百种常见病
产后抑郁症,百种常见病
人类免疫缺陷病毒[HIV]病,百种常见病
偏头痛,百种常见病
儿童哮喘,百种常见病
初发性或维持性睡眠障碍［失眠症］,百种常见病
前列腺癌,百种常见病
前置胎盘,百种常见病
卵巢癌,百种常见病
原发性高血压,百种常见病
口咽癌,百种常见病
口腔黏膜炎,百种常见病
哮喘,百种常见病
唇腭裂,百种常见病
喉癌,百种常见病
垂体功能减退症,百种常见病
基底细胞癌,百种常见病
多发性硬化症,百种常见病
多发性骨髓瘤,百种常见病
妊娠期急性脂肪肝,百种常见病
妊娠期肝内胆汁淤积症,百种常见病
妊娠期高血压,百种常见病
婴儿猝死综合征,百种常见病
子宫内膜癌,百种常见病
宫颈癌,百种常见病
尘肺,百种常见病
帕金森病,百种常见病
广泛性焦虑障碍,百种常见病
心房扑动,百种常见病
心肌梗塞,百种常见病
心肌炎,百种常见病
急性上呼吸道感染,百种常见病
急性咽喉炎,百种常见病
急性淋巴细胞白血病,百种常见病
急性胰腺炎,百种常见病
急性膀胱炎,百种常见病
急性阑尾炎,百种常见病
急性非ST段抬高型心肌梗死,百种常见病
急性髓性白血病,百种常见病
感染性心内膜炎,百种常见病
慢性心房颤动,百种常见病
慢性肾病,百种常见病
慢性胰腺炎,百种常见病
慢性阻塞性肺疾病,百种常见病
抑郁症,百种常见病
支气管肺癌,百种常见病
新生儿黄疸,百种常见病
早产,百种常见病
普通感冒,百种常见病
毛细胞白血病,百种常见病
溶血性贫血,百种常见病
狂犬病,百种常见病
甲状腺癌,百种常见病
病毒性脑膜炎,百种常见病
痔,百种常见病
痛风,百种常见病
癫痫持续状态,百种常见病
登革热,百种常见病
白内障,百种常见病
百日咳,百种常见病
真菌性脑膜炎,百种常见病
睾丸癌,百种常见病
破伤风,百种常见病
磨牙症,百种常见病
类癌综合征,百种常见病
类风湿关节炎,百种常见病
细菌性脑膜炎,百种常见病
缺血性心脏病,百种常见病
缺血性脑卒中,百种常见病
肛门癌,百种常见病
肝癌,百种常见病
肝硬化,百种常见病
肠梗阻,百种常见病
肥厚型心肌病,百种常见病
肺结核,百种常见病
肾小球肾炎,百种常见病
