name,class
一扫光药膏,中成药
一捻金胶囊,中成药
一枝蒿伤湿祛痛膏,中成药
一清颗粒,中成药
一生,中成药
一贯煎,中成药
丁公藤注射液,中成药
丁公藤风湿药酒,中成药
丁桂温胃散,中成药
丁沉透膈丸,中成药
丁细牙痛胶囊,中成药
丁蔻理中丸,中成药
丁香柿蒂汤,中成药
七制香附丸,中成药
七十味松石丸,中成药
七十味珍珠丸,中成药
七厘软膏,中成药
七参连软膏,中成药
七叶神安分散片,中成药
七叶神安滴丸,中成药
七叶神安片,中成药
七味养心健脾胶囊,中成药
七味刺榆颗粒,中成药
七味广枣丸,中成药
七味沙参汤散,中成药
七味益气胶囊,中成药
七味糖脉舒胶囊,中成药
七味红花殊胜散,中成药
七味肝胆清胶囊,中成药
七味胃痛胶囊,中成药
七味解毒活血膏,中成药
七味通痹口服液,中成药
七味酸藤果丸,中成药
七宝美髯丸,中成药
七宝美髯丹,中成药
七珠健胃茶,中成药
七生力片,中成药
七生静片,中成药
七鞭回春乐胶囊,中成药
七香止痛丸,中成药
万应宝珍膏,中成药
万应颗粒,中成药
万氏牛黄清心丸,中成药
万氏牛黄清心片,中成药
万灵五香膏,中成药
万灵筋骨膏,中成药
万通,中成药
万通筋骨片,中成药
三七伤药颗粒,中成药
三七养血胶囊,中成药
三七化痔丸,中成药
三七总苷冲剂,中成药
三七止血片,中成药
三七活血丸,中成药
三七粉,中成药
三七胶囊,中成药
三七脂肝丸,中成药
三七血伤宁胶囊,中成药
三七通舒胶囊,中成药
三两半药酒,中成药
三九胃泰胶囊,中成药
三仁汤,中成药
三分三浸膏片,中成药
三十一味松石丸,中成药
三号蛇胆川贝片,中成药
三味檀香汤散,中成药
三味檀香胶囊,中成药
三味檀香颗粒,中成药
三味止咳片,中成药
三味泻痢颗粒,中成药
三味肤宝软膏,中成药
三子养亲汤,中成药
三子止咳膏,中成药
三宝片,中成药
三宝胶囊,中成药
三拗片,中成药
三果汤含片,中成药
三果汤散,中成药
三果汤胶囊,中成药
三果汤颗粒,中成药
三清胶囊,中成药
三物备急丸,中成药
三肾丸,中成药
三臣胶囊,中成药
三蛇胆川贝膏,中成药
三金感冒片,中成药
三金片,中成药
三鞭参茸固本丸,中成药
三鞭温阳胶囊,中成药
三鞭胶囊,中成药
三馀神曲,中成药
三香化瘀膏,中成药
三黄丸,中成药
三黄片,中成药
三黄珍珠膏,中成药
三黄益血胶囊,中成药
三黄胶囊,中成药
三黄膏,中成药
上清丸,中成药
上清片,中成药
上清胶囊,中成药
下乳涌泉散,中成药
不换金正气散,中成药
东乐膏,中成药
东山感冒片,中成药
东方活血膏,中成药
东方胃药胶囊,中成药
东方金宝,中成药
东梅止咳颗粒,中成药
丝白祛斑软膏,中成药
丝萸养血益肾颗粒,中成药
两仪膏,中成药
中华肝灵胶囊,中成药
中华跌打丸,中成药
中华跌打丸大蜜丸,中成药
中满分消丸,中成药
中风回春丸,中成药
临江风药,中成药
丹七片,中成药
丹七胶囊,中成药
丹七软胶囊,中成药
丹佛胃尔康颗粒,中成药
丹参,中成药
丹参合剂,中成药
丹参注射液,中成药
丹参滴注液,中成药
丹参益心胶囊,中成药
丹参舒心胶囊,中成药
丹参酮胶囊,中成药
丹参颗粒,中成药
丹栀逍遥丸,中成药
丹栀逍遥片,中成药
丹栀逍遥胶囊,中成药
丹溪玉屏风颗粒,中成药
丹灯通脑片,中成药
丹灯通脑胶囊,中成药
丹珍头痛胶囊,中成药
丹田降脂丸,中成药
丹白颗粒,中成药
丹皮酚注射液,中成药
丹红化瘀口服液,中成药
丹红注射液,中成药
丹绿补肾胶囊,中成药
丹膝颗粒,中成药
丹芎跌打膏,中成药
丹芎通脉颗粒,中成药
丹芪偏瘫胶囊,中成药
丹芪舒心胶囊,中成药
丹莪妇康煎膏,中成药
丹葛颈舒胶囊,中成药
丹葶肺心颗粒,中成药
丹蒌片,中成药
丹贞颗粒,中成药
丹郁骨康丸,中成药
丹香冠心注射液,中成药
丹香清脂颗粒,中成药
丹鳖胶囊,中成药
丹鹿通督片,中成药
丹黄祛淤胶囊,中成药
丹黄祛瘀胶囊,中成药
丽仁降糖片,中成药
久强脑立清,中成药
久金,中成药
乌丹降脂颗粒,中成药
乌兰十三味汤散,中成药
乌发丸,中成药
乌头注射液,中成药
乌枣健脑安神片,中成药
乌梅丸,中成药
乌灵胶囊,中成药
乌甘散,中成药
乌蛇止痒丸,中成药
乌贝散,中成药
乌贝胶囊,中成药
乌贝颗粒,中成药
乌金活血止痛片,中成药
乌金活血止痛胶囊,中成药
乌金片,中成药
乌阳补心糖浆,中成药
乌鸡丸,中成药
乌鸡地黄胶囊,中成药
乌鸡增乳胶囊,中成药
乌鸡洋参胶囊,中成药
乌鸡白凤丸,中成药
乌鸡白凤分散片,中成药
乌鸡白凤颗粒,中成药
乐儿康糖浆,中成药
乐脉丸,中成药
乐脉分散片,中成药
乐脉颗粒,中成药
乙肝健片,中成药
乙肝养阴活血颗粒,中成药
乙肝宁颗粒,中成药
乙肝扶正胶囊,中成药
乙肝清热解毒颗粒,中成药
乙肝益气解郁颗粒,中成药
乙肝舒康胶囊,中成药
乙肝解毒丸,中成药
乙肝解毒胶囊,中成药
九一散,中成药
九仙散,中成药
九分散,中成药
九制香附丸,中成药
九华痔疮栓,中成药
九华膏,中成药
九味健肾胶囊,中成药
九味双解口服液,中成药
九味沉香胶囊,中成药
九味清热胶囊,中成药
九味獐牙菜胶囊,中成药
九味痔疮胶囊,中成药
九味益脑颗粒,中成药
九味羌活丸,中成药
九味羌活汤,中成药
九味肝泰胶囊,中成药
九味黑蚁酒,中成药
九圣散,中成药
九气心痛丸,中成药
九龙解毒胶囊,中成药
乳块消丸,中成药
乳块消贴膏,中成药
乳块消颗粒,中成药
乳增宁胶囊,中成药
乳宁片,中成药
乳宁颗粒,中成药
乳安片,中成药
乳康丸,中成药
乳康片,中成药
乳康舒胶囊,中成药
乳康软胶嚢,中成药
