name,class
12小时尿沉渣计数,检查诊疗技术
1分钟胆红素,检查诊疗技术
38sα2糖蛋白,检查诊疗技术
3甲氧基肾上腺素,检查诊疗技术
4字试验检查,检查诊疗技术
5核苷酸磷酸二酯酶同工酶,检查诊疗技术
5核苷酸酶,检查诊疗技术
5羟吲哚乙酸,检查诊疗技术
5羟色胺,检查诊疗技术
64排螺旋ct检查,检查诊疗技术
6酮前列腺素f1α,检查诊疗技术
b因子,检查诊疗技术
b因子溶血活性,检查诊疗技术
b淋巴细胞表面标志,检查诊疗技术
c3肾炎因子,检查诊疗技术
cochet和bonnet氏角膜知觉测量计检查,检查诊疗技术
ct平扫,检查诊疗技术
ct血管成像,检查诊疗技术
c反应蛋白,检查诊疗技术
c肽,检查诊疗技术
c肽释放试验检查,检查诊疗技术
dna多聚酶,检查诊疗技术
d二聚体,检查诊疗技术
eac玫瑰花结形成试验,检查诊疗技术
eb病毒壳抗原iga抗体,检查诊疗技术
ect检查,检查诊疗技术
e玫瑰花环形成试验,检查诊疗技术
farnsworth15色标试验,检查诊疗技术
fisher手指试验,检查诊疗技术
frenzel氏眼镜检查法,检查诊疗技术
f波检查,检查诊疗技术
gc球蛋白,检查诊疗技术
gnrh兴奋试验,检查诊疗技术
hbf碱变性试验,检查诊疗技术
hbsag免疫复合物检查,检查诊疗技术
hcg半定量,检查诊疗技术
hco3重吸收试验,检查诊疗技术
hla定型,检查诊疗技术
optochin敏感试验,检查诊疗技术
p53基因检测,检查诊疗技术
p53蛋白,检查诊疗技术
schiφtz氏压陷眼压计测量法,检查诊疗技术
sw阴茎超声血流检测,检查诊疗技术
t3t4抗体,检查诊疗技术
t4t8比值,检查诊疗技术
t4淋巴细胞亚群,检查诊疗技术
torch检查,检查诊疗技术
t淋巴细胞亚群检查,检查诊疗技术
t管造影,检查诊疗技术
x线头影测量,检查诊疗技术
x线碘油造影,检查诊疗技术
α1抗胰蛋白酶,检查诊疗技术
α2hs糖蛋白,检查诊疗技术
α2妊娠相关蛋白,检查诊疗技术
α2热稳定性糖蛋白,检查诊疗技术
α2纤溶酶抑制抗原,检查诊疗技术
α2纤溶酶抑制物活性,检查诊疗技术
αd半乳糖1磷酸转尿苷酰酶,检查诊疗技术
α巯基乙醇试验,检查诊疗技术
α羟丁酸脱氢酶,检查诊疗技术
α茶酚醋酸酯酶染色,检查诊疗技术
α葡萄糖苷酶,检查诊疗技术
β1妊娠特异蛋白,检查诊疗技术
βn乙酰氨基葡萄糖苷酶,检查诊疗技术
β促黑素细胞激素,检查诊疗技术
β半乳糖苷酶试验,检查诊疗技术
β胡萝卜素,检查诊疗技术
β葡萄糖醛酸苷酶,检查诊疗技术
β血小板球蛋白和血小板第4因子检查,检查诊疗技术
γ干扰素,检查诊疗技术
δ胆红素,检查诊疗技术
一小时尿沉渣计数,检查诊疗技术
一氧化碳,检查诊疗技术
一秒用力呼气量,检查诊疗技术
一般摄片检查,检查诊疗技术
丁型肝炎抗体,检查诊疗技术
丁型肝炎抗体检查,检查诊疗技术
丁型肝炎抗原,检查诊疗技术
丁型肝炎病毒hdv检查,检查诊疗技术
七叶苷水解试验,检查诊疗技术
三叉神经检查,检查诊疗技术
